#1 : frequency[Hz] = 1.00000e+09
  No.  No.     X[m]        Y[m]        Z[m]      E[V/m]     Ex[V/m]   Ex[deg]   Ey[V/m]   Ey[deg]   Ez[V/m]   Ez[deg]
    5   30   1.000e-01  -1.000e-01   3.000e-01  5.498e-01  5.289e-01   28.995  4.371e-03  -53.243  1.500e-01 -114.492
    6    0   1.000e-01  -9.000e-02   0.000e+00  8.813e-02  8.586e-02 -173.334  8.323e-04   38.887  1.983e-02  -68.527
    6    1   1.000e-01  -9.000e-02   1.000e-02  1.849e-01  1.841e-01  116.604  9.779e-04   76.699  1.693e-02  -10.998
    6    2   1.000e-01  -9.000e-02   2.000e-02  2.837e-01  2.824e-01  110.562  1.074e-03  111.388  2.689e-02   32.265
    6    3   1.000e-01  -9.000e-02   3.000e-02  2.699e-01  2.673e-01  117.489  1.120e-03  147.721  3.730e-02   56.711
    6    4   1.000e-01  -9.000e-02   4.000e-02  1.595e-01  1.550e-01  147.525  1.183e-03 -173.183  3.729e-02   76.345
    6    5   1.000e-01  -9.000e-02   5.000e-02  1.744e-01  1.729e-01 -126.009  1.311e-03 -134.460  2.325e-02  110.622
    6    6   1.000e-01  -9.000e-02   6.000e-02  3.451e-01  3.441e-01  -94.251  1.474e-03  -98.032  2.609e-02 -153.102
    6    7   1.000e-01  -9.000e-02   7.000e-02  4.522e-01  4.480e-01  -79.301  1.617e-03  -63.501  6.183e-02 -118.615
    6    8   1.000e-01  -9.000e-02   8.000e-02  4.422e-01  4.325e-01  -63.257  1.727e-03  -29.101  9.217e-02 -105.353
    6    9   1.000e-01  -9.000e-02   9.000e-02  3.475e-01  3.329e-01  -36.233  1.809e-03    5.799  9.950e-02  -96.119
